participant_id,file,action,take,camera,start,end
P004,data/raw/_nosound/P004_S1_M03_T03_CAM_F.mov,M03,003,cam01,00:00,00:21
P004,data/raw/_nosound/P004_S1_M03_T04_CAM_F.mov,M03,004,cam01,00:00,00:21
P004,data/raw/_nosound/P004_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:04
P004,data/raw/_nosound/P004_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:03
P004,data/raw/_nosound/P004_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:02
P004,data/raw/_nosound/P004_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:17
P004,data/raw/_nosound/P004_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:08
P004,data/raw/_nosound/P004_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:08
P004,data/raw/_nosound/P004_S1_M06_T03_CAM_F.mov,M06,003,cam01,00:00,00:08
P004,data/raw/_nosound/P004_S1_M06_T04_CAM_F.mov,M06,004,cam01,00:00,00:08
P004,data/raw/_nosound/P004_S1_M07_T01_CAM_F.mov,M07,001,cam01,00:00,00:12
P004,data/raw/_nosound/P004_S1_M07_T02_CAM_F.mov,M07,002,cam01,00:00,00:11
P005,data/raw/_nosound/P005_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:19
P005,data/raw/_nosound/P005_S1_M01_T01_CAM_F.mov,M01,001,cam01,00:00,00:09
P005,data/raw/_nosound/P005_S1_M01_T02_CAM_F.mov,M01,002,cam01,00:00,00:10
P005,data/raw/_nosound/P005_S1_M01_T03_CAM_F.mov,M01,003,cam01,00:00,00:11
P005,data/raw/_nosound/P005_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:09
P005,data/raw/_nosound/P005_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:07
P005,data/raw/_nosound/P005_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:08
P005,data/raw/_nosound/P005_S1_M02_T04_CAM_F.mov,M02,004,cam01,00:00,00:06
P005,data/raw/_nosound/P005_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:10
P005,data/raw/_nosound/P005_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:10
P005,data/raw/_nosound/P005_S1_M03_T03_CAM_F.mov,M03,003,cam01,00:00,00:10
P005,data/raw/_nosound/P005_S1_M03_T04_CAM_F.mov,M03,004,cam01,00:00,00:10
P005,data/raw/_nosound/P005_S1_M03_T05_CAM_F.mov,M03,005,cam01,00:00,00:09
P005,data/raw/_nosound/P005_S1_M03_T06_CAM_F.mov,M03,006,cam01,00:00,00:09
P005,data/raw/_nosound/P005_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:05
P005,data/raw/_nosound/P005_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:04
P005,data/raw/_nosound/P005_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:03
P005,data/raw/_nosound/P005_S1_M04_T04_CAM_F.mov,M04,004,cam01,00:00,00:03
P005,data/raw/_nosound/P005_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:10
P005,data/raw/_nosound/P005_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:08
P005,data/raw/_nosound/P005_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:07
P005,data/raw/_nosound/P005_S1_M06_T03_CAM_F.mov,M06,003,cam01,00:00,00:07
P005,data/raw/_nosound/P005_S1_M06_T04_CAM_F.mov,M06,004,cam01,00:00,00:07
P005,data/raw/_nosound/P005_S1_M07_T01_CAM_F.mov,M07,001,cam01,00:00,00:09
P005,data/raw/_nosound/P005_S1_M07_T02_CAM_F.mov,M07,002,cam01,00:00,00:10
P006,data/raw/_nosound/P006_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:17
P006,data/raw/_nosound/P006_S1_M01_T01_CAM_F.mov,M01,001,cam01,00:00,00:12
P006,data/raw/_nosound/P006_S1_M01_T02_CAM_F.mov,M01,002,cam01,00:00,00:10
P006,data/raw/_nosound/P006_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:10
P006,data/raw/_nosound/P006_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:08
P006,data/raw/_nosound/P006_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:07
P006,data/raw/_nosound/P006_S1_M02_T04_CAM_F.mov,M02,004,cam01,00:00,00:07
P006,data/raw/_nosound/P006_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:15
P006,data/raw/_nosound/P006_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:16
P006,data/raw/_nosound/P006_S1_M03_T03_CAM_F.mov,M03,003,cam01,00:00,00:15
P006,data/raw/_nosound/P006_S1_M03_T04_CAM_F.mov,M03,004,cam01,00:00,00:17
P006,data/raw/_nosound/P006_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:03
P006,data/raw/_nosound/P006_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:04
P006,data/raw/_nosound/P006_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:05
P006,data/raw/_nosound/P006_S1_M04_T04_CAM_F.mov,M04,004,cam01,00:00,00:04
P006,data/raw/_nosound/P006_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:14
P006,data/raw/_nosound/P006_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:10
P006,data/raw/_nosound/P006_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:06
P006,data/raw/_nosound/P006_S1_M06_T03_CAM_F.mov,M06,003,cam01,00:00,00:06
P006,data/raw/_nosound/P006_S1_M06_T04_CAM_F.mov,M06,004,cam01,00:00,00:06
P006,data/raw/_nosound/P006_S1_M07_T01_CAM_F.mov,M07,001,cam01,00:00,00:08
P006,data/raw/_nosound/P006_S1_M07_T02_CAM_F.mov,M07,002,cam01,00:00,00:09
P007,data/raw/_nosound/P007_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:22
P007,data/raw/_nosound/P007_S1_M01_T01_CAM_F.mov,M01,001,cam01,00:00,00:11
P007,data/raw/_nosound/P007_S1_M01_T02_CAM_F.mov,M01,002,cam01,00:00,00:12
P007,data/raw/_nosound/P007_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:07
P007,data/raw/_nosound/P007_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:06
P007,data/raw/_nosound/P007_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:07
P007,data/raw/_nosound/P007_S1_M02_T04_CAM_F.mov,M02,004,cam01,00:00,00:05
P007,data/raw/_nosound/P007_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:20
P007,data/raw/_nosound/P007_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:22
P007,data/raw/_nosound/P007_S1_M03_T03_CAM_F.mov,M03,003,cam01,00:00,00:22
P007,data/raw/_nosound/P007_S1_M03_T04_CAM_F.mov,M03,004,cam01,00:00,00:19
P007,data/raw/_nosound/P007_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:04
P007,data/raw/_nosound/P007_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:04
P007,data/raw/_nosound/P007_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:04
P007,data/raw/_nosound/P007_S1_M04_T04_CAM_F.mov,M04,004,cam01,00:00,00:05
P007,data/raw/_nosound/P007_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:11
P007,data/raw/_nosound/P007_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:07
P007,data/raw/_nosound/P007_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:06
P007,data/raw/_nosound/P007_S1_M06_T03_CAM_F.mov,M06,003,cam01,00:00,00:06
P007,data/raw/_nosound/P007_S1_M06_T04_CAM_F.mov,M06,004,cam01,00:00,00:07
P007,data/raw/_nosound/P007_S1_M07_T01_CAM_F.mov,M07,001,cam01,00:00,00:09
P007,data/raw/_nosound/P007_S1_M07_T02_CAM_F.mov,M07,002,cam01,00:00,00:06
